File,Clear Centroid,Clear Mean,Wiener Centroid,Wiener Mean,Lib Wiener Centroid,Lib Wiener Mean,Noised Centroid,Noised Mean
52.wav,560.5313265651147,7.264281e-05,576.1024762046886,0.00012059502,1412.1208069938687,0.0020496433,1408.80483417202,0.0020292397
53.wav,956.3837792493209,0.0014171368,1238.2211559321167,0.0020749683,1480.6000382334043,0.005889734,1479.9307163327903,0.005862404
54.wav,1016.404420229305,0.0009771995,867.9796231516522,0.0004354445,1494.7374863725831,0.0027188275,1494.8674376720767,0.0027229465
55.wav,662.9044204963714,8.903645e-05,436.5575763458342,2.7640712e-05,780.5818627986773,0.00045978354,778.3956186127789,0.00045048687
56.wav,567.8337409732131,0.00029464328,1300.4812159307812,0.0014768634,2651.7263457169065,0.019698177,2649.574262985225,0.019657848
57.wav,759.4086165177048,0.00038148658,368.9980551387128,2.7767173e-05,821.7507880242529,0.00046529612,819.704823118413,0.0004587929
58.wav,1111.3714845621569,0.0006341508,631.7875805114563,0.000112961694,1126.4147311240827,0.0011574978,1126.8495697371993,0.0011542535
59.wav,724.6775370524717,0.00024820297,1188.7423266665267,0.0006004538,1562.6487231032072,0.0029766872,1561.3319619698125,0.0029002165
6.wav,1302.6513675852668,0.065975174,1431.6731426393146,0.0037564712,2373.5667023678425,0.017211886,2368.081794434296,0.017050233
60.wav,723.9931041198657,0.00028566775,681.4657221653206,0.0001747836,1774.7113005014178,0.003385889,1775.3159058166507,0.003384939
61.wav,547.3473140455429,0.0005030685,481.2400046352284,3.1650445e-05,952.4444794517556,0.00044377768,951.3464518960357,0.00043358208
62.wav,468.3992052389421,0.00032282545,839.3250210605748,0.00023471526,1391.5353935317423,0.0019543984,1392.1560051712872,0.001956459
63.wav,624.5656138435451,0.00021276569,442.45836610700337,2.7538712e-05,837.4964479420247,0.00049623917,836.1245295398114,0.0004816167
64.wav,1202.1240092125654,0.00052713515,1010.7890706592623,0.0005272835,1620.2673521446006,0.002935205,1618.4592077891068,0.0028720298
65.wav,514.0758575449153,0.000935765,2082.1499165251084,0.007801289,2593.297146628681,0.021620365,2589.504323236254,0.021451583
66.wav,472.76396079575267,4.325324e-05,1009.4304027738343,0.00043154677,1521.8367250172148,0.002774222,1517.3894960210407,0.002738391
67.wav,825.1788788457164,0.00030524976,1823.798166167967,0.0035731317,2618.412452854969,0.01315062,2617.858149709839,0.013149443
68.wav,360.50844520418457,7.21109e-06,441.03425499961895,5.4836757e-05,945.1344249747467,0.0015220038,938.4103649020304,0.0014200489
69.wav,1096.8046344334407,0.0007196933,454.4030638149393,5.5059885e-05,869.748466860279,0.0021683678,862.1398746841658,0.001981693
7.wav,1333.945592638724,0.004166408,1173.8141181756152,0.0015494458,2323.0757376923048,0.016784864,2316.194382317308,0.01649426
